Order Date,Sales,Profit
11-08-2016,261.96,41.9136
11-08-2016,731.94,219.582
06-12-2016,14.62,6.8714
10-11-2015,957.5775,-383.031
10-11-2015,22.368,2.5164
06-09-2014,48.86,14.1694
06-09-2014,7.28,1.9656
06-09-2014,907.152,90.7152
06-09-2014,18.504,5.7825
06-09-2014,114.9,34.47
06-09-2014,1706.184,85.3092
06-09-2014,911.424,68.3568
4-15-2017,15.552,5.4432
12-05-2016,407.976,132.5922
11-22-2015,68.81,-123.858
11-22-2015,2.544,-3.816
11-11-2014,665.88,13.3176
5-13-2014,55.5,9.99
8-27-2014,8.56,2.4824
8-27-2014,213.48,16.011
8-27-2014,22.72,7.384
12-09-2016,19.46,5.0596
12-09-2016,60.34,15.6884
7-16-2017,71.372,-1.0196
9-25-2015,1044.63,240.2649
1-16-2016,11.648,4.2224
1-16-2016,90.57,11.7741
9-17-2015,3083.43,-1665.0522
9-17-2015,9.618,-7.0532
9-17-2015,124.2,15.525
9-17-2015,3.264,1.1016
9-17-2015,86.304,9.7092
9-17-2015,6.858,-5.715
9-17-2015,15.76,3.546
10-19-2017,29.472,9.9468
12-08-2016,1097.544,123.4737
12-08-2016,190.92,-147.963
12-27-2015,113.328,35.415
12-27-2015,532.3992,-46.9764
12-27-2015,212.058,-15.147
12-27-2015,371.168,41.7564
09-10-2017,147.168,16.5564
7-17-2016,77.88,3.894
9-19-2017,95.616,9.5616
03-11-2016,45.98,19.7714
03-11-2016,17.46,8.2062
10-20-2014,211.96,8.4784
6-20-2016,45,4.95
6-20-2016,21.8,6.104
4-18-2015,38.22,17.9634
4-18-2015,75.18,35.3346
4-18-2015,6.16,2.9568
4-18-2015,89.99,17.0981
12-11-2016,15.26,6.2566
12-11-2016,1029.95,298.6855
6-17-2016,208.56,52.14
6-17-2016,32.4,15.552
6-17-2016,319.41,7.098
6-17-2016,14.56,6.9888
6-17-2016,30,3.3
6-17-2016,48.48,16.362
6-17-2016,1.68,0.84
11-24-2015,13.98,6.1512
11-24-2015,25.824,9.3612
11-24-2015,146.73,68.9631
11-24-2015,79.76,22.3328
4-30-2015,213.115,-15.2225
12-05-2014,1113.024,111.3024
12-05-2014,167.968,62.988
06-04-2016,75.88,35.6636
9-18-2016,4.616,1.731
9-14-2017,19.05,8.763
4-26-2015,831.936,-114.3912
4-26-2015,97.04,1.213
4-26-2015,72.784,-18.196
12-09-2017,1.248,-1.9344
12-09-2017,9.708,-5.8248
12-09-2017,27.24,2.724
11-26-2014,19.3,-14.475
06-12-2016,208.16,56.2032
06-12-2016,16.74,8.0352
10-12-2014,14.9,4.172
10-12-2014,21.39,6.2031
09-03-2015,200.984,62.8075
11-13-2017,230.376,-48.9549
5-28-2017,301.96,33.2156
10-26-2017,19.99,6.7966
10-26-2017,6.16,2.9568
04-05-2016,158.368,13.8572
9-17-2016,20.1,6.633
9-17-2016,73.584,8.2782
9-17-2016,6.48,3.1104
1-31-2015,12.96,6.2208
1-31-2015,53.34,16.5354
1-31-2015,32.96,16.1504
11-06-2017,5.682,-3.788
11-09-2017,96.53,40.5426
6-17-2017,51.312,17.9592
09-06-2016,77.88,22.5852
8-29-2016,64.624,22.6184
8-29-2016,95.976,-10.7973
8-29-2016,1.788,-3.0396
12-01-2016,23.92,11.7208
11-13-2015,238.896,-26.8758
11-13-2015,102.36,-3.8385
11-13-2015,36.882,-25.8174
11-23-2017,74.112,17.6016
11-23-2017,27.992,2.0994
11-23-2017,3.304,1.0738
10-15-2015,339.96,67.992
12-25-2017,41.96,10.9096
11-03-2016,75.96,22.788
11-03-2016,27.24,13.3476
8-25-2014,40.096,14.5348
8-25-2014,4.72,1.652
8-25-2014,23.976,7.4925
8-25-2014,130.464,44.0316
03-02-2015,787.53,165.3813
04-05-2015,157.794,-115.7156
06-12-2016,47.04,18.3456
06-12-2016,30.84,13.878
06-12-2016,226.56,63.4368
06-12-2016,115.02,51.759
06-12-2016,68.04,19.7316
12-26-2014,600.558,-8.5794
9-20-2014,617.7,-407.682
11-05-2017,2.388,-1.8308
11-05-2017,243.992,30.499
11-06-2016,81.424,-9.1602
11-06-2016,238.56,26.2416
02-02-2017,59.97,-11.994
02-02-2017,78.304,29.364
02-02-2017,21.456,6.9732
10-13-2016,20.04,9.6192
10-13-2016,35.44,16.6568
10-13-2016,11.52,3.456
10-13-2016,4.02,1.9698
10-13-2016,76.176,26.6616
10-13-2016,65.88,18.4464
10-13-2016,43.12,20.6976
09-05-2016,82.8,10.35
9-18-2017,8.82,2.3814
9-18-2017,10.86,5.1042
9-18-2017,143.7,68.976
12-22-2017,839.43,218.2518
09-07-2015,671.93,20.1579
10-22-2014,93.888,12.9096
12-05-2016,384.45,103.8015
12-05-2016,149.97,5.9988
12-05-2016,1951.84,585.552
12-05-2016,171.55,80.6285
3-13-2016,157.92,17.766
